id,act_id,chapter_name,chapter_number
106,26,PROVISIONS AS TO HEALTH,CHAPTER III
107,26,WELFARE,CHAPTER IV
108,26,PROVISIONS AS TO SAFETY,CHAPTER IVA
109,26,HOURS AND LIMITATION OF EMPLOYMENT,CHAPTER V
110,26,LEAVE WITH WAGES,CHAPTER VI
111,26,ACCIDENTS,CHAPTER VIA
112,26,PENALTIES AND PROCEDURE,CHAPTER VII
113,29,PRELIMINARY,CHAPTER I
114,29,STANDARD RENT AND PROVISIONS RELATING TO OTHER CHARGES BY THE LANDLORD,CHAPTER II
115,29,CONTROL OF EVICTION OF TENANTS,CHAPTER III
116,29,HOTELS AND LODGING HOUSES,CHAPTER IV
117,29,"JURISDICTION OF COURTS APPEALS, REVIEW AND REVISION",CHAPTER V
118,29,MISCELLANEOUS,CHAPTER VI
119,30,PRELIMINARY,CHAPTER I
120,30,REGULAR AIR FORCE RESERVE,CHAPTER II
121,30,AIR DEFENCE RESERVE,CHAPTER III
122,30,AUXILIARY AIR FORCE,CHAPTER IV
123,30,LIABILITY AND DISCIPLINE OF MEMBERS OF RESERVE AND AUXILIARY AIR FORCES,CHAPTER V
124,30,MISCELLANEOUS,CHAPTER VI
125,31,PPRELIMINARY,CHAPTER I
126,31,THE FORWARD MARKETS COMMISSION,CHAPTER II
127,31,RECOGNISED ASSOCIATIONS,CHAPTER III
128,31,REGISTERED ASSOCIATIONS,CHAPTER IIIA
129,31,FORWARD CONTRACTS AND OPTIONS IN GOODS,CHAPTER IV
130,31,PENALTIES AND PROCEDURE,CHAPTER V
131,31,MISCELLANEOUS,CHAPTER VI
132,34,PRELIMINARY,CHAPTER I
133,34,SOLEMNIZATION OF SPECIAL MARRIAGES,CHAPTER II
134,34,REGISTRATION OF MARRIAGES CELEBRATED IN OTHER FORMS,CHAPTER III
135,34,CONSEQUENCES OF MARRIAGE UNDER THIS ACT,CHAPTER IV
136,34,RESTITUTION OF CONJUGAL RIGHTS AND JUDICIAL SEPARATION,CHAPTER V
137,34,NULLITY OF MARRIAGE AND DIVORCE,CHAPTER VI
138,34,JURISDICTION AND PROCEDURE,CHAPTER VII
139,34,MISCELLANEOUS,CHAPTER VIII
140,36,PRELIMINARY,CHAPTER I
141,36,COURT OF THE JUDICAL COMMISSIONER,CHAPTER II
142,36,SUBORDINATE COURTS,CHAPTER III
143,36,SUPPLEMENTAL AND MISCELLANEOUS PROVISIONS,CHAPTER IV
144,37,PRELIMINARY,CHAPTER I
145,37,ESTABLISHMENT OF THE COMMISSION,CHAPTER II
146,37,POWERS AND FUNCTIONS OF THE COMMISSION,CHAPTER III
147,37,MISCELLANEOUS,CHAPTER IV
148,39,PRELIMINARY,CHAPTER I
149,39,ESTABLISHMENT OF LIFE INSURANCE CORORATION OF INDIA,CHAPTER II
150,39,FUNCTIONS OF THE CORPORATION,CHAPTER III
151,39,TRANSFER OF EXISTING LIFE INSURANCE BUSINESS TO THE CORPORATION,CHAPTER IV
152,39,MANAGEMENT,CHAPTER V
153,39,"FINANCE, ACCOUNTS AND AUDIT",CHAPTER VI
154,39,MISCELLANEOUS,CHAPTER VII
155,42,PRELIMINARY,CHAPTER I
156,42,ESTABLISHMENT OF RIVER BOARDS,CHAPTER II
157,42,POWERS AND FUNCTIONS OF THE BOARD,CHAPTER III
158,42,MISCELLANEOUS,CHAPTER IV
159,43,PRELIMINARY,CHAPTER I
160,43,ADOPTION,CHAPTER II
161,43,MAINTENANCE,CHAPTER III
162,44,PRELIMINARY,CHAPTER I
163,44,CONSTITUTION AND FUNCTIONS OF VILLAGE AUTHORITIES,CHAPTER II
164,44,ADMINISTRATION OF JUSTICE BY VILLAGE AUTHORITIES,CHAPTER III
165,44,MISCELLANEOUS,CHAPTER IV
166,45,PRELIMINARY,CHAPTER I
167,45,ESTABLISHMENT OF THE CORPORATION,CHAPTER II
168,45,POWERS AND FUNCTIONS OF THE CORPORATION,CHAPTER III
169,45,MISCELLANEOUS,CHAPTER IV
170,46,PRELIMINARY,CHAPTER I
171,46,SLUM AREAS,CHAPTER II
172,46,SLUM IMPROVEMENT,CHAPTER III
173,46,SLUM CLEARANCE AND RE-DEVELOPMENT,CHAPTER IV
174,46,ACQUISITION OF LAND,CHAPTER V
175,46,PROTECTION OF TENANTS IN SLUM AREAS FROM EVICTION,CHAPTER VI
176,46,MISCELLANEOUS,CHAPTER VII
177,48,PRELIMINARY,CHAPTER I
178,48,THE INSTITUTE OF COST AND WORKS ACCOUNTANTS,CHAPTER II
179,48,COUNCIL OF THE INSTITUTE,CHAPTER III
180,48,REGISTER OF MEMBERS,CHAPTER IV
181,48,MISCONDUCT,CHAPTER V
182,48,REGIONAL COUNCIL,CHAPTER VI
183,48,PENALTIES,CHAPTER VII
184,48,QUALITY REVIEW BOARD,CHAPTER VIIA
185,48,"DISSSOLUTION OF THE INSTITUTE OF COST AND WORKS ACCOUNTANTS REGISTERED UNDER THE COMPANIES ACT, 1956 (1 OF 1956)",CHAPTER VIII
186,48,MISCELLANEOUS,CHAPTER IX
187,54,PRELIMINARY,CHAPTER I
188,54,SALAR JUNG MUSEUM BOARD,CHAPTER II
189,54,FUNCTIONS OF THE BOARD,CHAPTER III
190,54,"FINANCE, ACCOUNTS, AUDIT AND REPORTS",CHAPTER IV
191,54,MISCELLANEOUS,CHAPTER V
192,56,PRELIMINARY,CHAPTER I
193,56,ESTABLISHMENT AND MANGEMENT OF THE DEPOSIT INSURANCE CORPORATION,CHAPTER II
194,56,REGISTRATION OF BANKING COMPANIES AND CO-OPERATIVE BANKS AS INSURED BANKS AND LIABILITY OF CORPORATION TO DEPOITORS,CHAPTER III
195,56,CREDIT GUARANTEE FUNCTIONS,CHAPTER IIIA
196,56,"FUNDS, ACCOUNTS AND AUDIT",CHAPTER IV
197,56,MISCELLANEOUS,CHAPTER V
198,57,PRELIMINARY,CHAPTER I
199,57,THE INSTITUTES,CHAPTER II
200,57,THE COUNCIL,CHAPTER III
201,57,MISCELLANEOUS,CHAPTER IV
202,60,PRELIMINARY,CHAPTER I
203,60,EXTRADITION OF FUGITIVE CRIMINALS TO FOREIGN STATE TO WHICH CHAPTER III DOES NOT APPLY,CHAPTER II
204,60,RETURN OF FUGITIVE CRIMINALS TO FOREIGN STATES WITH EXTRADITION ARRANGEMENTS,CHAPTER III
205,60,SURRENDER OR RETURN OF ACCUSED OR CONVICTED PERSONS FROM FOREIGN STATES,CHAPTER IV
206,60,MISCELLANEOUS,CHAPTER V
207,63,MARINE INSURANCE,
208,63,INSURABLE INTEREST,
209,63,LOSS AND ABANDONMENT,
210,63,PARTIAL LOSSES (INCLUDING SALVAGE AND GENERAL AVERAGE AND PARTICULAR CHARGES),
211,63,MEASURE OF INDEMNITY,
212,63,RIGHTS OF INSURER ON PAYMENTS,
213,63,RETURN OF PREMIUM,
214,63,SUPPLEMENTAL,
215,63,INSURABLE VALUE,
216,63,DISCLOSURE AND REPRESENTATIONS,
217,63,THE POLICY,
218,63,DOUBLE INSURANCE,
219,63,"WARRANTIES, ETC.",
220,63,THE VOYAGE,
221,63,ASSIGNMENT OF POLICY,
222,63,THE PREMIUM,
223,63,,
224,67,PRELIMINARY,CHAPTER I
225,67,THE FOOD CORPORATION OF INDIA,CHAPTER II
226,67,BOARDS OF MANAGEMENT,CHAPTER III
227,67,STATE FOOD CORPORATIONS,CHAPTER IV
228,67,"FINANCE, ACCOUNTS AND AUDIT",CHAPTER V
229,67,MISCELLANEOUS,CHAPTER VI
230,74,PRELIMINARY,CHAPTER I
231,74,UNLAWFUL ASSOCIATIONS,CHAPTER II
232,74,OFFENCES AND PENALTIES,CHAPTER III
233,74,PUNISHMENT FOR TERRORIST ACTIVITIES,CHAPTER IV
234,74,FORFEITURE OF PROCEEDS OF TERRORISM OR ANY PROPERTY INTENDED TO BE USED FOR TERRORISM,CHAPTER V
235,74,TERRORIST ORGANISATIONS AND INDIVIDUALS,CHAPTER VI
236,74,MISCELLANEOUS,CHAPTER VII
237,77,PRELIMINARY,CHAPTER I
238,77,REGISTRATION ESTABLISHMENT,CHAPTER II
239,77,REGISTRATION OF BIRTHS AND DEATHS,CHAPTER III
240,77,MAINTENANCE OF RECORDS AND STATISTICS,CHAPTER IV
241,77,MISCELLANEOUS,CHAPTER V
242,78,PRELIMINARY,CHAPTER I
243,78,THE KHUDA BAKHSH ORIENTAL PUBLIC LIBRARY BOARD,CHAPTER II
244,78,"PROPERTY, LIABILITIES AND FUNCTIONS OF THE BOARD",CHAPTER III
